iter	Passed	Remaining
0	1	147
1	2	136
2	4	134
3	5	126
4	6	123
5	8	125
6	9	122
7	10	121
8	11	119
9	13	117
10	14	116
11	15	115
12	17	115
13	18	115
14	20	114
15	21	112
16	22	111
17	24	110
18	25	108
19	26	106
20	27	104
21	28	102
22	30	101
23	31	100
24	33	99
25	34	97
26	35	96
27	37	95
28	38	94
29	39	92
30	40	91
31	42	90
32	43	88
33	45	87
34	46	86
35	47	84
36	49	83
37	50	82
38	51	80
39	52	79
40	54	78
41	54	75
42	56	74
43	57	73
44	58	71
45	60	70
46	61	69
47	62	67
48	63	66
49	65	65
50	66	63
51	67	62
52	69	61
53	70	59
54	71	58
55	72	56
56	73	55
57	75	54
58	76	53
59	77	51
60	78	50
61	80	49
62	81	47
63	82	46
64	84	45
65	85	43
66	86	42
67	87	41
68	89	39
69	90	38
70	91	37
71	92	36
72	93	34
73	95	33
74	96	32
75	97	30
76	98	29
77	100	28
78	101	26
79	102	25
80	103	24
81	104	22
82	106	21
83	107	20
84	108	19
85	109	17
86	111	16
87	112	15
88	113	14
89	115	12
90	116	11
91	117	10
92	119	8
93	120	7
94	121	6
95	123	5
96	124	3
97	125	2
98	127	1
99	128	0
