iter	Passed	Remaining
0	132	131937
1	133	66745
2	135	45131
3	137	34238
4	138	27636
5	140	23260
6	141	20125
7	143	17745
8	144	15897
9	148	14662
10	149	13441
11	150	12421
12	152	11556
13	153	10845
14	155	10203
15	156	9634
16	158	9139
17	159	8716
18	161	8319
19	162	7962
20	163	7632
21	165	7363
22	167	7106
23	168	6860
24	171	6691
25	172	6478
26	174	6286
27	176	6111
28	178	5966
29	179	5814
30	181	5661
31	182	5517
32	184	5407
33	186	5286
34	187	5164
35	188	5047
36	190	4945
37	191	4842
38	192	4747
39	193	4654
40	195	4567
41	196	4488
42	197	4406
43	199	4327
44	200	4251
45	201	4188
46	203	4120
47	204	4058
48	205	3996
49	207	3942
50	208	3888
51	210	3832
52	211	3778
53	212	3725
54	213	3674
55	215	3633
56	216	3585
57	218	3541
58	219	3500
59	220	3460
60	222	3419
61	223	3383
62	224	3345
63	226	3310
64	228	3285
65	229	3251
66	230	3216
67	232	3191
68	234	3158
69	235	3126
70	236	3095
71	237	3065
72	239	3042
73	240	3014
74	242	2986
75	243	2959
76	245	2937
77	246	2911
78	247	2884
79	248	2860
80	249	2834
81	251	2810
82	251	2781
83	252	2757
84	254	2735
85	255	2713
86	257	2697
87	258	2678
88	259	2657
89	260	2636
90	262	2617
91	263	2599
92	264	2580
93	265	2561
94	266	2543
95	268	2524
96	269	2507
97	270	2491
98	271	2473
99	272	2456
100	274	2439
101	275	2424
102	276	2410
103	277	2395
104	279	2380
105	280	2365
106	282	2354
107	283	2340
108	284	2325
109	285	2310
110	286	2297
111	288	2289
112	289	2275
113	291	2262
114	292	2249
115	293	2236
116	294	2223
117	295	2210
118	297	2198
119	298	2186
120	299	2174
121	300	2161
122	301	2151
123	303	2140
124	304	2129
125	305	2118
126	306	2106
127	307	2097
128	309	2086
129	310	2075
130	311	2066
131	312	2058
132	314	2049
133	315	2039
134	316	2030
135	317	2020
136	319	2010
137	320	2002
138	321	1994
139	323	1985
140	324	1976
141	325	1965
142	326	1956
143	327	1948
144	328	1939
145	330	1930
146	331	1922
147	332	1915
148	333	1907
149	335	1898
150	336	1890
151	337	1883
152	338	1876
153	340	1868
154	341	1860
155	342	1852
156	343	1844
157	344	1837
158	346	1830
159	347	1822
160	347	1813
161	349	1806
162	350	1800
163	351	1794
164	353	1787
165	354	1780
166	355	1774
167	356	1767
168	358	1761
169	359	1754
170	360	1748
171	361	1741
172	362	1734
173	364	1730
174	365	1724
175	367	1718
176	368	1711
177	369	1706
178	370	1700
179	372	1694
180	373	1688
181	374	1682
182	375	1676
183	376	1671
184	378	1665
185	379	1659
186	380	1654
187	381	1648
188	383	1643
189	384	1638
190	385	1632
191	386	1627
192	387	1621
193	389	1617
194	390	1612
195	391	1607
196	393	1602
197	394	1597
198	395	1592
199	396	1587
200	397	1582
201	399	1577
202	400	1572
203	401	1567
204	403	1563
205	404	1558
206	405	1553
207	406	1548
208	408	1544
209	409	1539
210	410	1534
211	411	1529
212	412	1524
213	413	1520
214	415	1515
215	416	1510
216	417	1505
217	418	1500
218	419	1495
219	420	1491
220	421	1486
221	422	1482
222	424	1477
223	425	1473
224	426	1469
225	427	1464
226	428	1460
227	430	1456
228	431	1451
229	432	1447
230	433	1443
231	434	1439
232	436	1435
233	437	1431
234	438	1427
235	439	1423
236	440	1419
237	441	1414
238	442	1409
239	443	1405
240	445	1401
241	446	1397
242	447	1393
243	448	1389
244	449	1384
245	450	1381
246	451	1377
247	452	1373
248	453	1368
249	454	1364
250	455	1360
251	457	1357
252	458	1353
253	459	1349
254	460	1345
255	461	1341
256	462	1337
257	463	1334
258	465	1330
259	466	1326
260	467	1322
261	468	1318
262	469	1315
263	470	1312
264	471	1308
265	472	1304
266	473	1300
267	475	1297
268	476	1294
269	477	1290
270	478	1287
271	479	1283
272	480	1279
273	481	1276
274	482	1273
275	484	1269
276	485	1266
277	486	1262
278	487	1259
279	488	1256
280	489	1252
281	490	1249
282	491	1246
283	492	1242
284	494	1239
285	495	1236
286	496	1233
287	497	1230
288	498	1227
289	499	1224
290	501	1221
291	502	1218
292	503	1215
293	505	1213
294	506	1210
295	507	1208
296	509	1204
297	510	1201
298	511	1198
299	512	1196
300	514	1193
301	515	1190
302	516	1188
303	517	1185
304	519	1182
305	520	1180
306	521	1177
307	522	1174
308	523	1171
309	525	1168
310	526	1165
311	527	1162
312	528	1159
313	529	1156
314	530	1153
315	531	1151
316	533	1148
317	534	1145
318	535	1142
319	536	1140
320	537	1137
321	539	1135
322	540	1132
323	541	1129
324	542	1126
325	543	1123
326	544	1121
327	546	1118
328	547	1115
329	548	1113
330	549	1110
331	550	1107
332	551	1105
333	552	1102
334	553	1099
335	555	1096
336	556	1094
337	557	1091
338	558	1089
339	559	1086
340	560	1083
341	561	1080
342	562	1078
343	564	1075
344	565	1073
345	566	1070
346	567	1068
347	569	1066
348	570	1063
349	571	1061
350	572	1059
351	573	1056
352	575	1054
353	576	1052
354	577	1049
355	578	1046
356	579	1044
357	581	1041
358	582	1039
359	583	1037
360	584	1035
361	586	1033
362	587	1031
363	588	1028
364	590	1026
365	591	1023
366	592	1021
367	593	1019
368	594	1017
369	595	1014
370	597	1012
371	598	1010
372	599	1007
373	600	1005
374	601	1003
375	603	1000
376	604	998
377	605	996
378	606	994
379	608	992
380	609	989
381	610	987
382	611	985
383	612	983
384	614	980
385	615	978
386	616	976
387	617	973
388	618	971
389	619	969
390	621	967
391	622	965
392	623	963
393	624	960
394	625	958
395	626	956
396	628	953
397	629	951
398	630	949
399	631	947
400	632	945
401	634	943
402	635	940
403	636	938
404	637	936
405	638	934
406	639	932
407	641	930
408	642	927
409	643	925
410	644	923
411	645	921
412	646	919
413	648	917
414	649	915
415	650	912
416	651	910
417	652	908
418	653	906
419	654	904
420	656	902
421	657	900
422	658	898
423	659	896
424	660	894
425	661	891
426	663	889
427	664	887
428	665	885
429	666	883
430	667	881
431	668	879
432	670	877
433	671	875
434	672	873
435	673	871
436	674	869
437	675	867
438	677	865
439	678	863
440	679	861
441	680	859
442	681	857
443	683	855
444	684	853
445	685	851
446	686	849
447	687	847
448	688	845
449	690	843
450	691	841
451	692	839
452	693	836
453	694	834
454	695	832
455	696	830
456	697	828
457	698	826
458	699	824
459	700	822
460	701	820
461	703	818
462	704	816
463	705	814
464	706	812
465	707	810
466	708	808
467	709	806
468	710	804
469	711	802
470	712	800
471	713	798
472	715	796
473	716	794
474	717	792
475	718	790
476	719	788
477	720	786
478	721	784
479	722	782
480	723	780
481	724	778
482	725	776
483	726	774
484	727	772
485	729	771
486	730	768
487	731	767
488	732	765
489	733	763
490	734	761
491	735	759
492	736	757
493	737	755
494	738	753
495	740	751
496	741	750
497	742	748
498	743	746
499	744	744
500	745	742
501	746	740
502	747	738
503	748	736
504	749	734
505	750	733
506	752	731
507	753	729
508	754	727
509	755	725
510	756	723
511	757	721
512	758	720
513	759	718
514	760	716
515	761	714
516	762	712
517	764	711
518	765	709
519	766	707
520	767	705
521	768	703
522	769	701
523	770	699
524	771	698
525	772	696
526	773	694
527	775	692
528	776	691
529	777	689
530	778	687
531	779	685
532	780	684
533	781	682
534	783	680
535	784	678
536	785	677
537	786	675
538	787	673
539	788	671
540	789	669
541	790	668
542	791	666
543	792	664
544	793	662
545	794	660
546	796	659
547	797	657
548	798	655
549	799	654
550	800	652
551	801	650
552	802	649
553	803	647
554	805	645
555	806	643
556	807	641
557	808	640
558	809	638
559	810	636
560	811	635
561	812	633
562	813	631
563	814	629
564	815	628
565	816	626
566	817	624
567	818	622
568	819	621
569	821	619
570	822	618
571	824	616
572	825	615
573	826	613
574	828	612
575	829	610
576	830	608
577	831	607
578	832	605
579	834	604
580	835	602
581	836	600
582	837	598
583	838	597
584	839	595
585	840	593
586	841	592
587	842	590
588	843	588
589	844	587
590	846	585
591	847	583
592	848	582
593	849	580
594	850	578
595	851	577
596	852	575
597	853	574
598	854	572
599	855	570
600	856	568
601	858	567
602	859	565
603	860	564
604	861	562
605	862	560
606	863	559
607	865	557
608	866	556
609	867	554
610	868	552
611	869	551
612	871	549
613	872	548
614	873	546
615	874	545
616	875	543
617	876	541
618	877	540
619	878	538
620	879	537
621	880	535
622	881	533
623	883	532
624	884	530
625	885	529
626	886	527
627	887	525
628	888	524
629	889	522
630	890	521
631	892	519
632	893	517
633	894	516
634	895	514
635	896	513
636	897	511
637	898	509
638	899	508
639	901	507
640	903	505
641	904	504
642	905	502
643	906	501
644	907	499
645	908	497
646	909	496
647	910	494
648	911	493
649	912	491
650	913	489
651	915	488
652	916	486
653	917	485
654	918	483
655	919	482
656	920	480
657	921	479
658	922	477
659	923	475
660	924	474
661	925	472
662	926	471
663	928	469
664	929	468
665	930	466
666	931	465
667	932	463
668	933	462
669	934	460
670	935	458
671	936	457
672	938	455
673	939	454
674	940	452
675	941	451
676	942	449
677	943	448
678	944	446
679	945	445
680	946	443
681	947	441
682	948	440
683	950	438
684	951	437
685	952	435
686	953	434
687	954	432
688	955	431
689	956	429
690	957	428
691	959	426
692	960	425
693	961	423
694	962	422
695	963	420
696	965	419
697	966	418
698	967	416
699	968	415
700	969	413
701	970	412
702	971	410
703	972	409
704	973	407
705	974	406
706	975	404
707	977	403
708	978	401
709	979	400
710	980	398
711	981	397
712	982	395
713	984	394
714	985	392
715	986	391
716	987	389
717	988	388
718	989	386
719	990	385
720	991	383
721	992	382
722	993	380
723	995	379
724	996	377
725	997	376
726	998	374
727	999	373
728	1000	371
729	1001	370
730	1002	369
731	1003	367
732	1004	366
733	1005	364
734	1007	363
735	1008	361
736	1009	360
737	1010	358
738	1011	357
739	1012	355
740	1013	354
741	1014	352
742	1015	351
743	1016	349
744	1017	348
745	1019	346
746	1020	345
747	1021	344
748	1022	342
749	1023	341
750	1024	339
751	1025	338
